entry_time,exit_time,position_type,entry_zscore,exit_zscore,entry_spread,exit_spread,entry_b3_price,entry_moex_price,exit_b3_price,exit_moex_price,pnl,commission,net_pnl
2025-11-24 12:46:02.110731008,2025-11-24 12:48:37.350554880,SHORT_SPREAD,2.022908873332735,-1.191614016646081,1.75,68.39999999999964,4099.75,4098.0,4166.0,4097.6,-66.64999999999964,0.4,-67.04999999999964
2025-11-24 12:52:21.205146880,2025-11-24 12:54:17.464488960,SHORT_SPREAD,3.372233321611098,-0.18615439956781665,-3.25,69.65000000000009,4093.25,4096.5,4161.75,4092.1,-72.90000000000009,0.4,-73.3000000000001
2025-11-24 13:01:14.526688000,2025-11-24 13:01:27.185931008,LONG_SPREAD,-2.0907932862202423,0.6663270623575955,68.44999999999982,-6.899999999999636,4163.25,4094.8,4089.5,4096.4,-75.34999999999945,0.4,-75.74999999999946
2025-11-24 13:01:44.506407936,2025-11-24 13:02:06.494786304,LONG_SPREAD,-2.6614941776383065,0.6694775128599796,67.15000000000009,-6.899999999999636,4160.75,4093.6,4089.5,4096.4,-74.04999999999973,0.4,-74.44999999999973
2025-11-24 13:02:31.147557376,2025-11-24 13:06:54.309552128,LONG_SPREAD,-3.5890938434854682,0.8076328429242362,66.44999999999982,-6.800000000000182,4159.25,4092.8,4091.0,4097.8,-73.25,0.4,-73.65
2025-11-24 13:08:32.923587328,2025-11-24 13:08:52.579602944,SHORT_SPREAD,2.235315566176398,0.22785586259562424,-4.800000000000182,68.75,4091.0,4095.8,4159.25,4090.5,-73.55000000000018,0.4,-73.95000000000019
2025-11-24 13:09:13.566495744,2025-11-24 13:09:47.886199040,SHORT_SPREAD,2.3629852287360245,-1.4552357561951645,-4.900000000000091,64.94999999999982,4091.0,4095.9,4159.25,4094.3,-69.84999999999991,0.4,-70.24999999999991
2025-11-24 13:14:23.704847360,2025-11-24 13:14:57.682557184,SHORT_SPREAD,3.4815629218861064,-0.5914145478246206,-3.949999999999818,65.94999999999982,4090.25,4094.2,4159.25,4093.3,-69.89999999999964,0.4,-70.29999999999964
2025-11-24 13:16:44.625925120,2025-11-24 13:17:19.935075072,SHORT_SPREAD,2.13171588870095,-0.46133977935415577,-5.150000000000091,65.94999999999982,4089.75,4094.9,4159.25,4093.3,-71.09999999999991,0.4,-71.49999999999991
2025-11-24 13:18:16.898005248,2025-11-24 13:18:40.885971200,LONG_SPREAD,-2.5941069298920607,-0.2689039759653504,62.649999999999636,-7.649999999999636,4159.25,4096.6,4092.75,4100.4,-70.29999999999927,0.4,-70.69999999999928
