timestamp_ns,timestamp_s,security_id,symbol,entry_type,price,size,source
1731931272756458688,1731931272.7564588,200001478879,WDOZ24,ORDER,6484.64,0,INCREMENTAL
1731931405900494386,1731931405.9004943,200001478879,WDOZ24,ORDER,6976.12,0,INCREMENTAL
1731931453145086721,1731931453.1450868,2080363,WDOF25,ORDER,6493.04,0,INCREMENTAL
1731931826807252370,1731931826.8072524,200001478879,WDOZ24,ORDER,6607.73,0,INCREMENTAL
1731932051292304808,1731932051.292305,200001478879,WDOZ24,ORDER,5000.4,0,INCREMENTAL
1731932051415221612,1731932051.4152215,200001478879,WDOZ24,ORDER,5000.5,0,INCREMENTAL
1731932051615525903,1731932051.615526,200001478879,WDOZ24,ORDER,5000.6,0,INCREMENTAL
1731932052145485602,1731932052.1454856,200001478879,WDOZ24,ORDER,5000.7,0,INCREMENTAL
1731932052546178834,1731932052.5461788,200001478879,WDOZ24,ORDER,5000.8,0,INCREMENTAL
1731932052593631525,1731932052.5936315,200001478879,WDOZ24,ORDER,5000.9,0,INCREMENTAL
1731932052594235986,1731932052.594236,200001478879,WDOZ24,ORDER,5002.0,0,INCREMENTAL
1731932052710209849,1731932052.7102098,200001478879,WDOZ24,ORDER,5002.1,0,INCREMENTAL
1731932052717096636,1731932052.7170968,200001478879,WDOZ24,ORDER,5002.2,0,INCREMENTAL
1731932052787789673,1731932052.7877896,200001478879,WDOZ24,ORDER,5002.3,0,INCREMENTAL
1731932052951216082,1731932052.9512162,200001478879,WDOZ24,ORDER,5002.4,0,INCREMENTAL
1731932053008717835,1731932053.0087178,200001478879,WDOZ24,ORDER,5002.5,0,INCREMENTAL
1731932053045771898,1731932053.0457718,200001478879,WDOZ24,ORDER,5002.6,0,INCREMENTAL
1731932053055227159,1731932053.055227,200001478879,WDOZ24,ORDER,5002.7,0,INCREMENTAL
1731932053267846980,1731932053.2678468,200001478879,WDOZ24,ORDER,5003.1,0,INCREMENTAL
1731932053375219471,1731932053.3752193,200001478879,WDOZ24,ORDER,5003.2,0,INCREMENTAL
1731932053515268287,1731932053.5152683,200001478879,WDOZ24,ORDER,5003.3,0,INCREMENTAL
1731932053531848805,1731932053.5318487,200001478879,WDOZ24,ORDER,5003.9,0,INCREMENTAL
1731932053663289864,1731932053.6632898,200001478879,WDOZ24,ORDER,5004.0,0,INCREMENTAL
1731932053746199689,1731932053.7461998,200001478879,WDOZ24,ORDER,5004.1,0,INCREMENTAL
1731932053750224440,1731932053.7502244,200001478879,WDOZ24,ORDER,5004.2,0,INCREMENTAL
1731932053773433631,1731932053.7734337,200001478879,WDOZ24,ORDER,5004.3,0,INCREMENTAL
1731932054116928033,1731932054.116928,200001478879,WDOZ24,ORDER,5004.4,0,INCREMENTAL
1731932054374701276,1731932054.3747013,200001478879,WDOZ24,ORDER,5004.5,0,INCREMENTAL
1731932054725700404,1731932054.7257004,200001478879,WDOZ24,ORDER,5004.6,0,INCREMENTAL
1731932054805298760,1731932054.8052988,200001478879,WDOZ24,ORDER,5004.7,0,INCREMENTAL
1731932055062296071,1731932055.0622962,200001478879,WDOZ24,ORDER,5004.8,0,INCREMENTAL
1731932055230815995,1731932055.230816,200001478879,WDOZ24,ORDER,5004.9,0,INCREMENTAL
1731932055230838601,1731932055.2308385,200001478879,WDOZ24,ORDER,5006.9,0,INCREMENTAL
1731932055230885209,1731932055.230885,200001478879,WDOZ24,ORDER,5008.9,0,INCREMENTAL
1731932055231529472,1731932055.2315295,200001478879,WDOZ24,ORDER,5009.8,0,INCREMENTAL
1731932055413584249,1731932055.4135842,200001478879,WDOZ24,ORDER,5009.9,0,INCREMENTAL
1731932055461905507,1731932055.4619055,200001478879,WDOZ24,ORDER,5010.0,0,INCREMENTAL
1731932055465236180,1731932055.4652362,200001478879,WDOZ24,ORDER,5010.3,0,INCREMENTAL
1731932055778096715,1731932055.7780967,200001478879,WDOZ24,ORDER,5010.4,0,INCREMENTAL
1731932055998725219,1731932055.9987252,200001478879,WDOZ24,ORDER,5010.5,0,INCREMENTAL
1731932056052564088,1731932056.052564,200001478879,WDOZ24,ORDER,5010.8,0,INCREMENTAL
1731932056097237517,1731932056.0972376,200001478879,WDOZ24,ORDER,5010.9,0,INCREMENTAL
1731932056215192791,1731932056.2151928,200001478879,WDOZ24,ORDER,5011.0,0,INCREMENTAL
1731932056219733582,1731932056.2197335,200001478879,WDOZ24,ORDER,5011.1,0,INCREMENTAL
1731932056223781044,1731932056.223781,200001478879,WDOZ24,ORDER,5011.2,0,INCREMENTAL
1731932056305289256,1731932056.3052893,200001478879,WDOZ24,ORDER,5011.3,0,INCREMENTAL
1731932056412554551,1731932056.4125545,200001478879,WDOZ24,ORDER,5011.4,0,INCREMENTAL
1731932056438347122,1731932056.438347,200001478879,WDOZ24,ORDER,5011.6,0,INCREMENTAL
1731932056595651096,1731932056.5956511,200001478879,WDOZ24,ORDER,5011.7,0,INCREMENTAL
1731932056597321506,1731932056.5973215,200001478879,WDOZ24,ORDER,5011.9,0,INCREMENTAL
1731932056762611162,1731932056.7626112,200001478879,WDOZ24,ORDER,5012.0,0,INCREMENTAL
1731932057507711444,1731932057.5077114,200001478879,WDOZ24,ORDER,5012.1,0,INCREMENTAL
1731932057575981863,1731932057.5759819,200001478879,WDOZ24,ORDER,5012.2,0,INCREMENTAL
1731932057623395495,1731932057.6233957,200001478879,WDOZ24,ORDER,5012.3,0,INCREMENTAL
1731932057693909854,1731932057.6939096,200001478879,WDOZ24,ORDER,5012.4,0,INCREMENTAL
1731932058044748761,1731932058.0447488,200001478879,WDOZ24,ORDER,5012.5,0,INCREMENTAL
1731932058070929678,1731932058.0709298,200001478879,WDOZ24,ORDER,5012.9,0,INCREMENTAL
1731932058070974279,1731932058.070974,200001478879,WDOZ24,ORDER,5013.1,0,INCREMENTAL
1731932058072476012,1731932058.072476,200001478879,WDOZ24,ORDER,5013.2,0,INCREMENTAL
1731932058079658035,1731932058.079658,200001478879,WDOZ24,ORDER,5013.3,0,INCREMENTAL
1731932058079740177,1731932058.07974,200001478879,WDOZ24,ORDER,5013.4,0,INCREMENTAL
1731932058079786335,1731932058.0797863,200001478879,WDOZ24,ORDER,5013.5,0,INCREMENTAL
