timestamp_ns,timestamp_s,security_id,symbol,price,spread
1731931272756458688,1731931272.7564588,200001478879,WDOZ24,6484.64,
1731931405900494386,1731931405.9004943,200001478879,WDOZ24,6976.12,
1731931453145086721,1731931453.1450868,2080363,WDOF25,6493.04,
1731932461193353138,1731932461.1933532,200001478879,WDOZ24,6976.3,
1731932461290834582,1731932461.2908347,200001478879,WDOZ24,6976.4,
1731932461301155565,1731932461.3011556,200001478879,WDOZ24,6976.5,
1731932461484139399,1731932461.4841394,200001478879,WDOZ24,6976.6,
1731932461484222593,1731932461.4842227,200001478879,WDOZ24,6976.7,
1731932461959643121,1731932461.9596431,200001478879,WDOZ24,6977.0,
1731932462104755516,1731932462.1047554,200001478879,WDOZ24,6977.1,
1731932462150848137,1731932462.1508482,200001478879,WDOZ24,6977.2,
1731932462197586521,1731932462.1975865,200001478879,WDOZ24,6977.3,
1731932462239819849,1731932462.2398198,200001478879,WDOZ24,6977.4,
1731932462397922898,1731932462.3979228,200001478879,WDOZ24,6977.5,
1731932462428224239,1731932462.4282243,200001478879,WDOZ24,6977.6,
1731932462455339942,1731932462.4553401,200001478879,WDOZ24,6977.7,
1731932462715780564,1731932462.7157805,200001478879,WDOZ24,6977.8,
1731932462872876262,1731932462.8728764,200001478879,WDOZ24,6977.9,
1731932462967645541,1731932462.9676454,200001478879,WDOZ24,6978.0,
1731932463035582036,1731932463.035582,200001478879,WDOZ24,6978.1,
1731932463228591165,1731932463.2285912,200001478879,WDOZ24,6978.2,
1731932463358888550,1731932463.3588884,200001478879,WDOZ24,6978.3,
1731932463565072266,1731932463.5650723,200001478879,WDOZ24,6978.4,
1731932463773609671,1731932463.7736096,200001478879,WDOZ24,6978.5,
1731932464036706162,1731932464.036706,200001478879,WDOZ24,6978.6,
1731932464083314791,1731932464.0833147,200001478879,WDOZ24,6978.7,
1731932464084398682,1731932464.0843985,200001478879,WDOZ24,6978.8,
1731932464236480171,1731932464.2364802,200001478879,WDOZ24,6978.9,
1731932464306629231,1731932464.3066292,200001478879,WDOZ24,6979.0,
1731932464367237694,1731932464.3672376,200001478879,WDOZ24,6979.1,
