timestamp_ns,security_id,symbol,price,timestamp_s
1731931272756458688,200001478879,WDOZ24,6484.64,1731931272.7564588
1731931405900494386,200001478879,WDOZ24,6976.12,1731931405.9004943
1731931453145086721,2080363,WDOF25,6493.04,1731931453.1450868
1731931826807252370,200001478879,WDOZ24,6607.73,1731931826.8072524
1731932051292304808,200001478879,WDOZ24,5000.4,1731932051.292305
1731932051415221612,200001478879,WDOZ24,5000.5,1731932051.4152215
1731932051615525903,200001478879,WDOZ24,5000.6,1731932051.615526
1731932052145485602,200001478879,WDOZ24,5000.7,1731932052.1454856
1731932052546178834,200001478879,WDOZ24,5000.8,1731932052.5461788
1731932052593631525,200001478879,WDOZ24,5000.9,1731932052.5936315
1731932052594235986,200001478879,WDOZ24,5002.0,1731932052.594236
1731932052710209849,200001478879,WDOZ24,5002.1,1731932052.7102098
1731932052717096636,200001478879,WDOZ24,5002.2,1731932052.7170968
1731932052787789673,200001478879,WDOZ24,5002.3,1731932052.7877896
1731932052951216082,200001478879,WDOZ24,5002.4,1731932052.9512162
1731932053008717835,200001478879,WDOZ24,5002.5,1731932053.0087178
1731932053045771898,200001478879,WDOZ24,5002.6,1731932053.0457718
1731932053055227159,200001478879,WDOZ24,5002.7,1731932053.055227
1731932053267846980,200001478879,WDOZ24,5003.1,1731932053.2678468
1731932053375219471,200001478879,WDOZ24,5003.2,1731932053.3752193
1731932053515268287,200001478879,WDOZ24,5003.3,1731932053.5152683
1731932053531848805,200001478879,WDOZ24,5003.9,1731932053.5318487
1731932053663289864,200001478879,WDOZ24,5004.0,1731932053.6632898
1731932053746199689,200001478879,WDOZ24,5004.1,1731932053.7461998
1731932053750224440,200001478879,WDOZ24,5004.2,1731932053.7502244
1731932053773433631,200001478879,WDOZ24,5004.3,1731932053.7734337
1731932054116928033,200001478879,WDOZ24,5004.4,1731932054.116928
1731932054374701276,200001478879,WDOZ24,5004.5,1731932054.3747013
1731932054725700404,200001478879,WDOZ24,5004.6,1731932054.7257004
1731932054805298760,200001478879,WDOZ24,5004.7,1731932054.8052988
1731932055062296071,200001478879,WDOZ24,5004.8,1731932055.0622962
1731932055230815995,200001478879,WDOZ24,5004.9,1731932055.230816
1731932055230838601,200001478879,WDOZ24,5006.9,1731932055.2308385
1731932055230885209,200001478879,WDOZ24,5008.9,1731932055.230885
1731932055231529472,200001478879,WDOZ24,5009.8,1731932055.2315295
1731932055413584249,200001478879,WDOZ24,5009.9,1731932055.4135842
1731932055461905507,200001478879,WDOZ24,5010.0,1731932055.4619055
1731932055465236180,200001478879,WDOZ24,5010.3,1731932055.4652362
1731932055778096715,200001478879,WDOZ24,5010.4,1731932055.7780967
1731932055998725219,200001478879,WDOZ24,5010.5,1731932055.9987252
